Unnamed: 0,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,2026-07-02 00:00:00,11:00-12:10,Room D,"14*Religious Nationalism: The Reconfiguration of Taoism, Mahayana Buddhism, 
and Shamanic Cultures in Phuket, Thailand

Chaopreecha, Jakraphan Prince Of Songkla University, Phuket",80
,2026-07-02 00:00:00,11:00-12:10,Room D,"24*Building Bridges: Faith-based Support for Migrant Domestic Workers

Wangka, Yusmiati Vistamika Independent Researcher",81
,2026-07-02 00:00:00,11:00-12:10,Room D,"6*Transnational Networks of Overseas Vietnamese Buddhist Temples: 
Japan's Relational Position in Regional and Digital Connectivity

Kiyofuji, Ryushun University Of Kitakyushu",82
,2026-07-02 00:00:00,12:10-13:30,,LUNCH,83
,2026-07-02 00:00:00,13:30-15:00,Room A,"Dao, Crisis, and Adaptation",84
,2026-07-02 00:00:00,13:30-15:00,Room A,"56*Politicized Dao: Propaganda and Antireligious Literacy in the Anti-Yiguandao Campaigns 
in the Early People's Republic of China, 1949-1953

Broy, Nikolas Rikkyo University",85
,2026-07-02 00:00:00,13:30-15:00,Room A,"43*Modern Missionaries: Developing a Power-Sensitive Theory of 
Transnational Chinese Religious Propagation

Fastovsky, Naomi Harvard University",86
,2026-07-02 00:00:00,13:30-15:00,Room A,"80*Religious Security in a World of Disasters: The Environmental Turn of 
Vegetarian Discourse in Yiguandao and the Construction of Dual Security

Ng, William National Taiwan Normal University",87
,2026-07-02 00:00:00,13:30-15:00,Room A,"47*Interpreting Manifestation and Resonance as Religious Experience: 
Yiguandao Field Narratives in Indonesia

Shen, Yeh-Ying Singapore University of Social Sciences",88
,2026-07-02 00:00:00,13:30-15:00,Room B,Civil Religion and Religious Social Engagement,89
,2026-07-02 00:00:00,13:30-15:00,Room B,"96*Exploring Faith-based Active Citizenship: 
The Hong Kong Christian Industrial Committee and Its Role in the Labor Movement

Chan, Shun Hing Hong Kong Baptist University",90
,2026-07-02 00:00:00,13:30-15:00,Room B,"51*Syncretism of Buddhism and Daoism in Community Culture: 
The Religious Life of Kam Tin and Sha Tin Nine Alliances Jiao Festivals
（佛道合流與社群文化：錦田鄉與沙田九約太平清醮的宗教生活）

Wong, Hau Sze Saint Francis University",91
,2026-07-02 00:00:00,13:30-15:00,Room B,"21*Religion and Society: How University Courses Can Connect with Religion in Taiwan

Liu, Wei Ting Tamkang University General Education and Core Curriculum Center",92
,2026-07-02 00:00:00,13:30-15:00,Room B,"84*Building the Kingdom: Infrastructuring Religion and the Formation of a 
Worker-Student Subjectivity in Taitung, Taiwan

Yeh, Shu-Ling National Taitung University
Lau, Sin Wen University of Otago",93
,2026-07-02 00:00:00,13:30-15:00,Room C,Religion in Quantitative Focus,94
,2026-07-02 00:00:00,13:30-15:00,Room C,"63*Religious Practice and Negative Life Attitudes: 
A Comparison Between Taiwan Soka Gakkai Members and Other Buddhists

Fan, Gang-Hua Soochow University",95
,2026-07-02 00:00:00,13:30-15:00,Room C,"116*How Religion and Religiosity Shape Subjective Well-Being? 
The Mediating Role of Social Isolation

Hwang, Myeong Hwan Yonsei University",96
,2026-07-02 00:00:00,13:30-15:00,Room C,"72*Transcending the Self or Loving Thy Neighbor? 
Religious Traditions and Core Discussion Networks in East Asia

Su, Kuo-Hsien National Taiwan University",97
,2026-07-02 00:00:00,13:30-15:00,Room C,"40*Religious Diversity Around the World

Tong, Yunping Pew Research Center",98
